Pipeline,Completness,Resolution
ARP(B 5I),0.9,"3.4	(150)"
ARP(B 5I),0,"3.4	(150)"
ARP(B 5I),0.52,"3.6	(150)"
ARP(B 5I),2.38,"3.4	(150)"
ARP(B 5I),0.9,"3.4	(150)"
ARP(B 5I),0.49,"3.8	(150)"
ARP(B 5I),0,"3.4	(150)"
ARP(B 5I),0.58,"3.2	(150)"
ARP(B 5I),0,"4.0	(150)"
ARP(B 5I),0.33,"3.8	(150)"
ARP(B 5I),0,"3.8	(150)"
ARP(B 5I),0,"3.6	(150)"
ARP(B 5I),1.64,"3.8	(150)"
ARP(B 5I),98.35,"1.0 - 1.9	(67)"
ARP(B 5I),0.85,"3.4	(150)"
ARP(B 5I),0.89,"3.4	(150)"
ARP(B 5I),0.55,"3.4	(150)"
ARP(B 5I),0.27,"4.0	(150)"
ARP(B 5I),0.19,"3.6	(150)"
ARP(B 5I),0.22,"3.8	(150)"
ARP(B 5I),97.82,"2.0 - 3.1	(81)"
ARP(B 5I),0.31,"4.0	(150)"
ARP(B 5I),98.08,"1.0 - 1.9	(67)"
ARP(B 5I),0.33,"4.0	(150)"
ARP(B 5I),0.13,"3.4	(150)"
ARP(B 5I),1.92,"3.6	(150)"
ARP(B 5I),0,"4.0	(150)"
ARP(B 5I),98.45,"1.0 - 1.9	(67)"
ARP(B 5I),1.06,"3.4	(150)"
ARP(B 5I),0,"3.2	(150)"
ARP(B 5I),0.35,"3.6	(150)"
ARP(B 5I),10.02,"3.2	(150)"
ARP(B 5I),89.4,"2.0 - 3.1	(81)"
ARP(B 5I),88.44,"1.0 - 1.9	(67)"
ARP(B 5I),0,"3.8	(150)"
ARP(B 5I),0.99,"3.4	(150)"
ARP(B 5I),43.28,"3.4	(150)"
ARP(B 5I),0.42,"3.6	(150)"
ARP(B 5I),0,"3.6	(150)"
ARP(B 5I),97.35,"1.0 - 1.9	(67)"
ARP(B 5I),97.67,"1.0 - 1.9	(67)"
ARP(B 5I),1.32,"3.2	(150)"
ARP(B 5I),38.65,"2.0 - 3.1	(81)"
ARP(B 5I),97.77,"2.0 - 3.1	(81)"
ARP(B 5I),0,"3.6	(150)"
ARP(B 5I),0,"3.4	(150)"
ARP(B 5I),1.35,"3.6	(150)"
ARP(B 5I),0,"3.8	(150)"
ARP(B 5I),0,"3.2	(150)"
ARP(B 5I),0.78,"3.4	(150)"
ARP(B 5I),0,"4.0	(150)"
ARP(B 5I),0,"3.8	(150)"
ARP(B 5I),14.67,"3.4	(150)"
ARP(B 5I),2.08,"3.6	(150)"
ARP(B 5I),0.61,"3.8	(150)"
ARP(B 5I),1.36,"3.6	(150)"
ARP(B 5I),2.27,"3.4	(150)"
ARP(B 5I),86.26,"2.0 - 3.1	(81)"
ARP(B 5I),1.09,"3.8	(150)"
ARP(B 5I),1,"4.0	(150)"
ARP(B 5I),0.61,"3.6	(150)"
ARP(B 5I),0.34,"3.2	(150)"
ARP(B 5I),93.28,"1.0 - 1.9	(67)"
ARP(B 5I),0.65,"3.8	(150)"
ARP(B 5I),42.2,"3.2	(150)"
ARP(B 5I),0,"3.2	(150)"
ARP(B 5I),0.64,"3.4	(150)"
ARP(B 5I),99.1,"2.0 - 3.1	(81)"
ARP(B 5I),0,"3.6	(150)"
ARP(B 5I),0.13,"3.4	(150)"
ARP(B 5I),0.35,"3.6	(150)"
ARP(B 5I),1.23,"3.2	(150)"
ARP(B 5I),95.6,"1.0 - 1.9	(67)"
ARP(B 5I),0.47,"3.8	(150)"
ARP(B 5I),0,"3.8	(150)"
ARP(B 5I),0.31,"4.0	(150)"
ARP(B 5I),27.85,"3.2	(150)"
ARP(B 5I),3.26,"3.6	(150)"
ARP(B 5I),0,"4.0	(150)"
ARP(B 5I),0.47,"3.4	(150)"
ARP(B 5I),0.46,"3.6	(150)"
ARP(B 5I),92.39,"2.0 - 3.1	(81)"
ARP(B 5I),0,"3.2	(150)"
ARP(B 5I),0,"3.2	(150)"
ARP(B 5I),0.4,"3.2	(150)"
ARP(B 5I),0.36,"3.6	(150)"
ARP(B 5I),0,"3.6	(150)"
ARP(B 5I),0.36,"3.6	(150)"
ARP(B 5I),5.5,"3.4	(150)"
ARP(B 5I),0,"3.6	(150)"
ARP(B 5I),5.66,"3.2	(150)"
ARP(B 5I),98.41,"2.0 - 3.1	(81)"
ARP(B 5I),0.19,"4.0	(150)"
ARP(B 5I),0,"4.0	(150)"
ARP(B 5I),0.43,"3.6	(150)"
ARP(B 5I),0.2,"4.0	(150)"
ARP(B 5I),1.49,"3.8	(150)"
ARP(B 5I),0,"3.4	(150)"
ARP(B 5I),92.84,"1.0 - 1.9	(67)"
ARP(B 5I),0.4,"3.2	(150)"
ARP(B 5I),96.4,"1.0 - 1.9	(67)"
ARP(B 5I),98.39,"1.0 - 1.9	(67)"
ARP(B 5I),0.53,"4.0	(150)"
ARP(B 5I),0,"4.0	(150)"
ARP(B 5I),0,"4.0	(150)"
ARP(B 5I),0,"3.6	(150)"
ARP(B 5I),0.22,"4.0	(150)"
ARP(B 5I),0.41,"3.4	(150)"
ARP(B 5I),1.92,"3.2	(150)"
ARP(B 5I),0.44,"4.0	(150)"
ARP(B 5I),0,"4.0	(150)"
ARP(B 5I),0,"3.4	(150)"
ARP(B 5I),0,"3.6	(150)"
ARP(B 5I),83.73,"2.0 - 3.1	(81)"
ARP(B 5I),0.22,"3.8	(150)"
ARP(B 5I),33.46,"3.2	(150)"
ARP(B 5I),1.1,"3.4	(150)"
ARP(B 5I),2.27,"4.0	(150)"
ARP(B 5I),0.43,"4.0	(150)"
ARP(B 5I),95.05,"1.0 - 1.9	(67)"
ARP(B 5I),99.23,"2.0 - 3.1	(81)"
ARP(B 5I),0.54,"4.0	(150)"
ARP(B 5I),91.67,"1.0 - 1.9	(67)"
ARP(B 5I),0.23,"4.0	(150)"
ARP(B 5I),0.25,"3.6	(150)"
ARP(B 5I),0.98,"3.4	(150)"
ARP(B 5I),0.28,"3.2	(150)"
ARP(B 5I),0.82,"3.6	(150)"
ARP(B 5I),0,"3.4	(150)"
ARP(B 5I),0,"3.8	(150)"
ARP(B 5I),0,"3.6	(150)"
ARP(B 5I),28.19,"3.2	(150)"
ARP(B 5I),59.08,"2.0 - 3.1	(81)"
ARP(B 5I),11.07,"3.2	(150)"
ARP(B 5I),97.84,"1.0 - 1.9	(67)"
ARP(B 5I),0.1,"4.0	(150)"
ARP(B 5I),2.19,"3.2	(150)"
ARP(B 5I),0,"3.2	(150)"
ARP(B 5I),83.28,"2.0 - 3.1	(81)"
ARP(B 5I),0,"3.6	(150)"
ARP(B 5I),0,"4.0	(150)"
ARP(B 5I),1.84,"3.2	(150)"
ARP(B 5I),7.08,"3.2	(150)"
ARP(B 5I),0.89,"4.0	(150)"
ARP(B 5I),0.12,"4.0	(150)"
ARP(B 5I),0,"4.0	(150)"
