Pipeline,Percentage,CompareTo
A,0,A
A,7,A→B 
A,5,A→P* 
A,6,A→P 
A,15,B
A,7,B→P* 
A,8,B→P 
A,11,P*
A,5,P*→A 
A,10,P*→B 
A,14,P
A,4,P→A 
A,12,P→B 
A,45,S
A,22,S→A 
A,13,S→B 
A,40,S*
A,20,S*→A 
A,14,S*→B 
A,14,S*→P* 
A,14,S*→P 
A,14,S→P* 
A,13,S→P 
A→B ,30,A
A→B ,0,A→B 
A→B ,13,A→P* 
A→B ,17,A→P 
A→B ,30,B
A→B ,11,B→P* 
A→B ,14,B→P 
A→B ,24,P*
A→B ,16,P*→A 
A→B ,9,P*→B 
A→B ,28,P
A→B ,20,P→A 
A→B ,11,P→B 
A→B ,64,S
A→B ,34,S→A 
A→B ,18,S→B 
A→B ,57,S*
A→B ,29,S*→A 
A→B ,18,S*→B 
A→B ,24,S*→P* 
A→B ,24,S*→P 
A→B ,21,S→P* 
A→B ,25,S→P 
A→P* ,30,A
A→P* ,16,A→B 
A→P* ,0,A→P* 
A→P* ,9,A→P 
A→P* ,28,B
A→P* ,9,B→P* 
A→P* ,10,B→P 
A→P* ,13,P*
A→P* ,10,P*→A 
A→P* ,11,P*→B 
A→P* ,21,P
A→P* ,16,P→A 
A→P* ,14,P→B 
A→P* ,61,S
A→P* ,31,S→A 
A→P* ,20,S→B 
A→P* ,57,S*
A→P* ,30,S*→A 
A→P* ,21,S*→B 
A→P* ,14,S*→P* 
A→P* ,14,S*→P 
A→P* ,15,S→P* 
A→P* ,14,S→P 
A→P ,28,A
A→P ,16,A→B 
A→P ,6,A→P* 
A→P ,0,A→P 
A→P ,26,B
A→P ,9,B→P* 
A→P ,10,B→P 
A→P ,12,P*
A→P ,11,P*→A 
A→P ,10,P*→B 
A→P ,20,P
A→P ,16,P→A 
A→P ,13,P→B 
A→P ,61,S
A→P ,31,S→A 
A→P ,21,S→B 
A→P ,56,S*
A→P ,28,S*→A 
A→P ,21,S*→B 
A→P ,15,S*→P* 
A→P ,14,S*→P 
A→P ,11,S→P* 
A→P ,13,S→P 
B,28,A
B,12,A→B 
B,11,A→P* 
B,11,A→P 
B,0,B
B,9,B→P* 
B,7,B→P 
