Pipeline,Completness,SizeInBins,bin
A,0,<= 200,"3.4	(150)"
A,0,<= 200,"3.4	(150)"
A,0,201 - 400,"3.8	(149)"
A,0.79,<= 200,"3.4	(150)"
A,0.45,201 - 400,"3.4	(150)"
A,0.66,201 - 400,"3.8	(149)"
A,0.55,<= 200,"3.4	(150)"
A,0.52,<= 200,"3.6	(149)"
A,1.16,<= 200,"3.2	(149)"
A,0.66,201 - 400,"4.0	(149)"
A,97.94,201 - 400,"1.0 - 1.9	(67)"
A,0.8,201 - 400,"4.0	(149)"
A,0,201 - 400,"3.8	(149)"
A,0.56,201 - 400,"3.4	(150)"
A,0,201 - 400,"3.6	(149)"
A,0,201 - 400,"3.8	(149)"
A,1.1,201 - 400,"3.4	(150)"
A,0.67,401 - 600,"3.4	(150)"
A,0,401 - 600,"3.8	(149)"
A,0.16,601 - 800,"4.0	(149)"
A,0.19,401 - 600,"3.6	(149)"
A,97.82,401 - 600,"2.0 - 3.1	(81)"
A,1.34,601 - 800,"3.4	(150)"
A,10.92,401 - 600,"1.0 - 1.9	(67)"
A,5.04,801 - 1000,"3.6	(149)"
A,0.33,201 - 400,"4.0	(149)"
A,0.71,201 - 400,"3.6	(149)"
A,1.15,1001 - 1500,"3.2	(149)"
A,98.45,<= 200,"1.0 - 1.9	(67)"
A,0.56,<= 200,"3.2	(149)"
A,0,<= 200,"4.0	(149)"
A,0,<= 200,"3.4	(150)"
A,90.11,201 - 400,"2.0 - 3.1	(81)"
A,87.86,<= 200,"1.0 - 1.9	(67)"
A,0,<= 200,"3.6	(149)"
A,16.39,201 - 400,"3.4	(150)"
A,1.35,201 - 400,"3.8	(149)"
A,1.48,201 - 400,"3.4	(150)"
A,0.84,401 - 600,"3.6	(149)"
A,93.05,201 - 400,"1.0 - 1.9	(67)"
A,97.67,401 - 600,"1.0 - 1.9	(67)"
A,0.19,401 - 600,"3.2	(149)"
A,96.78,401 - 600,"2.0 - 3.1	(81)"
A,0,201 - 400,"3.6	(149)"
A,0.27,601 - 800,"3.8	(149)"
A,0.52,201 - 400,"3.4	(150)"
A,0.9,201 - 400,"3.6	(149)"
A,9.62,1001 - 1500,"2.0 - 3.1	(81)"
A,0,<= 200,"3.2	(149)"
A,0,201 - 400,"3.4	(150)"
A,0.39,201 - 400,"4.0	(149)"
A,0,201 - 400,"4.0	(149)"
A,1.27,<= 200,"3.8	(149)"
A,16.15,<= 200,"3.6	(149)"
A,0,<= 200,"3.8	(149)"
A,19.09,401 - 600,"3.4	(150)"
A,1.63,<= 200,"3.4	(150)"
A,0.68,401 - 600,"3.6	(149)"
A,89,1501+,"2.0 - 3.1	(81)"
A,0,201 - 400,"3.8	(149)"
A,0.75,401 - 600,"4.0	(149)"
A,88.29,401 - 600,"1.0 - 1.9	(67)"
A,0.61,<= 200,"3.6	(149)"
A,0,<= 200,"3.2	(149)"
A,0.25,1001 - 1500,"3.2	(149)"
A,0,201 - 400,"3.8	(149)"
A,0,<= 200,"3.2	(149)"
A,0.85,401 - 600,"3.4	(150)"
A,93.21,201 - 400,"2.0 - 3.1	(81)"
A,0,<= 200,"3.6	(149)"
A,0.25,601 - 800,"3.4	(150)"
A,0.55,1001 - 1500,"3.6	(149)"
A,0.82,201 - 400,"3.2	(149)"
A,0,201 - 400,"3.8	(149)"
A,96.7,<= 200,"1.0 - 1.9	(67)"
A,0,201 - 400,"4.0	(149)"
A,20.34,401 - 600,"3.2	(149)"
A,0.31,601 - 800,"4.0	(149)"
A,0.47,201 - 400,"3.8	(149)"
A,1.09,<= 200,"3.6	(149)"
A,0.47,201 - 400,"3.4	(150)"
A,84.63,601 - 800,"2.0 - 3.1	(81)"
A,0.27,1001 - 1500,"3.6	(149)"
A,0.91,201 - 400,"3.6	(149)"
A,0.5,201 - 400,"3.2	(149)"
A,0.43,201 - 400,"3.2	(149)"
A,0,201 - 400,"3.2	(149)"
A,0.15,1001 - 1500,"3.6	(149)"
A,0.56,1501+,"4.0	(149)"
A,0.63,601 - 800,"3.6	(149)"
A,1.22,601 - 800,"3.4	(150)"
A,53.77,201 - 400,"3.2	(149)"
A,0,<= 200,"3.6	(149)"
A,0.14,601 - 800,"3.6	(149)"
A,98.41,<= 200,"2.0 - 3.1	(81)"
A,0.28,201 - 400,"4.0	(149)"
A,0.81,401 - 600,"4.0	(149)"
A,1.12,201 - 400,"3.8	(149)"
A,0,201 - 400,"3.4	(150)"
A,98.07,201 - 400,"1.0 - 1.9	(67)"
A,36.04,<= 200,"1.0 - 1.9	(67)"
A,1.21,201 - 400,"3.2	(149)"
A,0.26,201 - 400,"4.0	(149)"
A,0.53,<= 200,"4.0	(149)"
A,0,<= 200,"4.0	(149)"
A,98.39,201 - 400,"1.0 - 1.9	(67)"
A,0.52,201 - 400,"3.6	(149)"
A,6.2,401 - 600,"3.2	(149)"
A,0.41,801 - 1000,"3.4	(150)"
A,0,401 - 600,"3.8	(149)"
A,0,201 - 400,"4.0	(149)"
A,0,201 - 400,"3.4	(150)"
A,0,401 - 600,"4.0	(149)"
A,0,401 - 600,"3.6	(149)"
A,0,201 - 400,"4.0	(149)"
A,16.92,401 - 600,"3.2	(149)"
A,4.17,401 - 600,"3.4	(150)"
A,0.87,201 - 400,"4.0	(149)"
A,70.34,201 - 400,"2.0 - 3.1	(81)"
A,0,<= 200,"4.0	(149)"
A,94.55,201 - 400,"1.0 - 1.9	(67)"
A,99.23,201 - 400,"2.0 - 3.1	(81)"
A,0,<= 200,"4.0	(149)"
A,91.67,<= 200,"1.0 - 1.9	(67)"
A,0.37,801 - 1000,"3.6	(149)"
A,0.43,601 - 800,"3.2	(149)"
A,4.56,201 - 400,"3.4	(150)"
A,0.23,401 - 600,"4.0	(149)"
A,0.26,201 - 400,"3.8	(149)"
A,3.28,201 - 400,"3.6	(149)"
A,0,<= 200,"3.6	(149)"
A,0.82,201 - 400,"3.8	(149)"
A,10.74,<= 200,"3.2	(149)"
A,0.78,201 - 400,"3.4	(150)"
A,31.38,201 - 400,"2.0 - 3.1	(81)"
A,7.75,201 - 400,"3.2	(149)"
A,98.22,601 - 800,"1.0 - 1.9	(67)"
A,0.27,201 - 400,"3.6	(149)"
A,0.2,1001 - 1500,"4.0	(149)"
A,0.19,401 - 600,"3.2	(149)"
A,0.55,<= 200,"3.2	(149)"
A,0.38,401 - 600,"4.0	(149)"
A,5.23,201 - 400,"3.2	(149)"
A,12.34,201 - 400,"3.2	(149)"
A,0.12,801 - 1000,"4.0	(149)"
A,40.27,201 - 400,"2.0 - 3.1	(81)"
A,78.44,401 - 600,"2.0 - 3.1	(81)"
A,0,<= 200,"4.0	(149)"
A,0,<= 200,"4.0	(149)"
A,0.2,401 - 600,"4.0	(149)"
A,0,<= 200,"3.8	(149)"
A,6.85,401 - 600,"3.6	(149)"
A,0.49,201 - 400,"4.0	(149)"
A,0.58,1001 - 1500,"3.4	(150)"
A,0,201 - 400,"3.4	(150)"
A,96.18,<= 200,"2.0 - 3.1	(81)"
A,0.25,801 - 1000,"4.0	(149)"
A,99.62,401 - 600,"2.0 - 3.1	(81)"
A,0,<= 200,"4.0	(149)"
A,91.87,201 - 400,"1.0 - 1.9	(67)"
A,0.48,201 - 400,"4.0	(149)"
A,0.15,601 - 800,"4.0	(149)"
A,0.19,401 - 600,"3.2	(149)"
A,0.68,<= 200,"3.4	(150)"
A,1.35,201 - 400,"3.6	(149)"
A,0,<= 200,"3.4	(150)"
A,0.56,401 - 600,"4.0	(149)"
A,0.55,<= 200,"3.6	(149)"
A,0,201 - 400,"3.4	(150)"
A,0.04,1501+,"3.8	(149)"
A,0.62,401 - 600,"3.2	(149)"
A,0,<= 200,"3.8	(149)"
A,0,401 - 600,"4.0	(149)"
A,0,201 - 400,"3.8	(149)"
A,95.39,201 - 400,"1.0 - 1.9	(67)"
A,0.21,1001 - 1500,"3.8	(149)"
A,0.3,201 - 400,"3.8	(149)"
A,0,201 - 400,"3.2	(149)"
A,0.12,801 - 1000,"3.6	(149)"
A,0.29,1501+,"3.8	(149)"
A,0.15,601 - 800,"3.6	(149)"
A,90.23,201 - 400,"2.0 - 3.1	(81)"
A,0,201 - 400,"4.0	(149)"
A,0.25,201 - 400,"3.6	(149)"
A,0.35,201 - 400,"3.4	(150)"
A,1.25,201 - 400,"3.4	(150)"
A,1.41,201 - 400,"3.2	(149)"
A,0,201 - 400,"3.8	(149)"
A,0,201 - 400,"3.6	(149)"
A,97.51,401 - 600,"1.0 - 1.9	(67)"
A,0,601 - 800,"4.0	(149)"
A,1.12,401 - 600,"3.2	(149)"
A,0.08,1001 - 1500,"3.8	(149)"
A,0,201 - 400,"3.6	(149)"
A,0.19,1001 - 1500,"4.0	(149)"
A,0.34,201 - 400,"3.8	(149)"
A,0.37,201 - 400,"3.2	(149)"
A,1.4,601 - 800,"3.4	(150)"
A,0,201 - 400,"3.6	(149)"
A,0.64,601 - 800,"3.6	(149)"
A,0,<= 200,"3.6	(149)"
A,0.64,<= 200,"3.6	(149)"
A,0,<= 200,"3.4	(150)"
A,1.13,401 - 600,"3.6	(149)"
A,0.52,201 - 400,"3.6	(149)"
A,0.4,601 - 800,"3.6	(149)"
A,0,201 - 400,"3.8	(149)"
A,0,<= 200,"3.2	(149)"
A,98.21,<= 200,"2.0 - 3.1	(81)"
A,0.45,1001 - 1500,"3.8	(149)"
A,0,601 - 800,"3.8	(149)"
A,0.26,201 - 400,"4.0	(149)"
A,5.06,201 - 400,"3.2	(149)"
A,0.79,<= 200,"3.2	(149)"
A,0,201 - 400,"4.0	(149)"
A,0,201 - 400,"3.6	(149)"
A,0.73,201 - 400,"3.2	(149)"
A,0.94,601 - 800,"3.4	(150)"
A,35.52,<= 200,"2.0 - 3.1	(81)"
A,0,<= 200,"3.8	(149)"
A,15.83,<= 200,"3.2	(149)"
A,0.55,<= 200,"3.8	(149)"
A,0,201 - 400,"3.8	(149)"
A,14.41,801 - 1000,"3.4	(150)"
A,88.7,<= 200,"2.0 - 3.1	(81)"
A,95.74,201 - 400,"2.0 - 3.1	(81)"
A,0.45,401 - 600,"3.8	(149)"
A,20.66,201 - 400,"3.2	(149)"
A,0,<= 200,"3.8	(149)"
A,0.26,201 - 400,"3.2	(149)"
A,0.44,1501+,"3.4	(150)"
A,0,<= 200,"4.0	(149)"
A,0.41,601 - 800,"3.2	(149)"
A,1.08,801 - 1000,"3.8	(149)"
A,1.57,201 - 400,"3.4	(150)"
A,0,201 - 400,"3.8	(149)"
A,0.25,201 - 400,"3.8	(149)"
A,0,<= 200,"3.6	(149)"
A,99.04,801 - 1000,"2.0 - 3.1	(81)"
A,15.09,401 - 600,"3.6	(149)"
A,0.19,401 - 600,"4.0	(149)"
A,0,201 - 400,"3.6	(149)"
A,0,<= 200,"4.0	(149)"
A,1.13,201 - 400,"3.6	(149)"
A,97.36,1001 - 1500,"2.0 - 3.1	(81)"
A,0,<= 200,"4.0	(149)"
A,2.38,<= 200,"3.6	(149)"
A,0,201 - 400,"4.0	(149)"
A,0,201 - 400,"3.2	(149)"
A,0,201 - 400,"3.8	(149)"
A,0.45,201 - 400,"3.4	(150)"
A,0.2,401 - 600,"3.8	(149)"
A,0.6,<= 200,"3.6	(149)"
A,0.04,1501+,"4.0	(149)"
A,0.89,601 - 800,"3.4	(150)"
A,98.36,<= 200,"1.0 - 1.9	(67)"
A,0,201 - 400,"3.6	(149)"
A,5.65,401 - 600,"3.8	(149)"
A,0,<= 200,"3.6	(149)"
A,1.05,201 - 400,"3.8	(149)"
