Pipeline,Structure_evaluation,Error_matrix,Difference_from_base_model,Feature,Dataset
SHELXE,Completeness,RMSE,-0.001435815,Min,Experimental phasing (JCSG)
SHELXE,Completeness,MAE,-0.000698183,Min,Experimental phasing (JCSG)
SHELXE,Completeness,RMSE,0.001084553,Max,Experimental phasing (JCSG)
SHELXE,Completeness,MAE,0.002300545,Max,Experimental phasing (JCSG)
SHELXE,Completeness,RMSE,-0.001152276,RMSD,Experimental phasing (JCSG)
SHELXE,Completeness,MAE,-0.0009084,RMSD,Experimental phasing (JCSG)
SHELXE,Completeness,RMSE,0.002272099,Skew,Experimental phasing (JCSG)
SHELXE,Completeness,MAE,0.00102941,Skew,Experimental phasing (JCSG)
SHELXE,Completeness,RMSE,0.017968315,Resolution,Experimental phasing (JCSG)
SHELXE,Completeness,MAE,0.013104673,Resolution,Experimental phasing (JCSG)
SHELXE,R-work,RMSE,3.50E-05,Min,Experimental phasing (JCSG)
SHELXE,R-work,MAE,5.82E-05,Min,Experimental phasing (JCSG)
SHELXE,R-work,RMSE,2.78E-05,Max,Experimental phasing (JCSG)
SHELXE,R-work,MAE,5.76E-06,Max,Experimental phasing (JCSG)
SHELXE,R-work,RMSE,-0.000167255,RMSD,Experimental phasing (JCSG)
SHELXE,R-work,MAE,-8.73E-06,RMSD,Experimental phasing (JCSG)
SHELXE,R-work,RMSE,0.000179889,Skew,Experimental phasing (JCSG)
SHELXE,R-work,MAE,0.000133625,Skew,Experimental phasing (JCSG)
SHELXE,R-work,RMSE,0.002335004,Resolution,Experimental phasing (JCSG)
SHELXE,R-work,MAE,0.001782439,Resolution,Experimental phasing (JCSG)
Phenix AutoBuild,Completeness,RMSE,0.00137206,Min,Experimental phasing (JCSG)
Phenix AutoBuild,Completeness,MAE,0.001122338,Min,Experimental phasing (JCSG)
Phenix AutoBuild,Completeness,RMSE,0.000456698,Max,Experimental phasing (JCSG)
Phenix AutoBuild,Completeness,MAE,0.000223576,Max,Experimental phasing (JCSG)
Phenix AutoBuild,Completeness,RMSE,0.000582041,RMSD,Experimental phasing (JCSG)
Phenix AutoBuild,Completeness,MAE,0.000639254,RMSD,Experimental phasing (JCSG)
Phenix AutoBuild,Completeness,RMSE,0.002276692,Skew,Experimental phasing (JCSG)
Phenix AutoBuild,Completeness,MAE,0.001834546,Skew,Experimental phasing (JCSG)
Phenix AutoBuild,Completeness,RMSE,0.030898424,Resolution,Experimental phasing (JCSG)
Phenix AutoBuild,Completeness,MAE,0.023464873,Resolution,Experimental phasing (JCSG)
Phenix AutoBuild,R-work,RMSE,0.000227053,Min,Experimental phasing (JCSG)
Phenix AutoBuild,R-work,MAE,0.000193485,Min,Experimental phasing (JCSG)
Phenix AutoBuild,R-work,RMSE,0.000226913,Max,Experimental phasing (JCSG)
