Difference,Pipeline,Evaluation_measure,predictive_model,dataset
-14.715,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-8.42,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
46.595,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
23.46,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-38.435,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-46.5,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-50.335,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-27.47,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
44.375,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
1.67,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
9.565,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
4.59,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-49.925,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-9.34,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
44.145,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
12.71,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
16.335,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
37.62,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-19.055,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
12.51,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
23.945,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
44.6,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-6.805,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
23.59,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-49.555,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-24.46,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
4.225,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-8.34,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
49.665,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
1.67,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
45.735,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
11.52,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
21.695,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
2.12,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
26.055,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
35.6,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-38.905,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-16.9,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-16.105,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
5.76,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-32.945,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
7.96,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
48.855,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
15.07,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-50.335,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-5.58,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
39.905,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
8.38,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-14.975,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-20.41,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-16.395,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
3.87,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
24.135,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-20.07,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-0.195,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
14.57,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-49.145,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-48.47,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
