Loss_value,Structure_evaluation
9,Completeness
9,Completeness
9,Completeness
9,Completeness
9,Completeness
9,Completeness
9,Completeness
9,Completeness
9,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
0,Completeness
10,Completeness
10,Completeness
10,Completeness
10,Completeness
10,Completeness
24,Completeness
24,Completeness
24,Completeness
24,Completeness
24,Completeness
8,Completeness
8,Completeness
8,Completeness
8,Completeness
8,Completeness
13,Completeness
13,Completeness
13,Completeness
13,Completeness
13,Completeness
13,Completeness
13,Completeness
13,Completeness
13,Completeness
25,Completeness
25,Completeness
25,Completeness
25,Completeness
25,Completeness
25,Completeness
25,Completeness
19,Completeness
19,Completeness
19,Completeness
19,Completeness
19,Completeness
14,Completeness
14,Completeness
1,Completeness
1,Completeness
1,Completeness
1,Completeness
1,Completeness
1,Completeness
1,Completeness
1,Completeness
1,Completeness
1,Completeness
1,Completeness
1,Completeness
1,Completeness
1,Completeness
1,Completeness
1,Completeness
1,Completeness
1,Completeness
41,Completeness
41,Completeness
32,Completeness
12,Completeness
12,Completeness
12,Completeness
12,Completeness
12,Completeness
12,Completeness
4,Completeness
4,Completeness
4,Completeness
4,Completeness
4,Completeness
4,Completeness
4,Completeness
4,Completeness
3,Completeness
3,Completeness
3,Completeness
3,Completeness
3,Completeness
3,Completeness
3,Completeness
3,Completeness
3,Completeness
3,Completeness
3,Completeness
3,Completeness
3,Completeness
3,Completeness
3,Completeness
3,Completeness
21,Completeness
21,Completeness
21,Completeness
21,Completeness
2,Completeness
2,Completeness
2,Completeness
2,Completeness
2,Completeness
2,Completeness
2,Completeness
2,Completeness
2,Completeness
2,Completeness
2,Completeness
2,Completeness
2,Completeness
2,Completeness
2,Completeness
15,Completeness
15,Completeness
15,Completeness
15,Completeness
15,Completeness
5,Completeness
5,Completeness
5,Completeness
5,Completeness
5,Completeness
5,Completeness
5,Completeness
5,Completeness
37,Completeness
6,Completeness
6,Completeness
6,Completeness
6,Completeness
6,Completeness
6,Completeness
6,Completeness
6,Completeness
6,Completeness
26,Completeness
26,Completeness
38,Completeness
28,Completeness
28,Completeness
45,Completeness
45,Completeness
17,Completeness
17,Completeness
17,Completeness
17,Completeness
22,Completeness
22,Completeness
22,Completeness
22,Completeness
56,Completeness
56,Completeness
18,Completeness
18,Completeness
11,Completeness
11,Completeness
11,Completeness
11,Completeness
11,Completeness
11,Completeness
34,Completeness
40,Completeness
44,Completeness
7,Completeness
7,Completeness
7,Completeness
30,Completeness
30,Completeness
31,Completeness
16,Completeness
47,Completeness
59,Completeness
35,Completeness
29,Completeness
20,Completeness
64,Completeness
23,Completeness
